,2020,2021,2022,2023,2024
000270,6.822389469319569e-11,9.657469427656548e-12,3.973259222946886e-10,0.026074144060872606,1.9404010627975277e-10
000660,1.158364702968966e-10,1.602376709461169e-11,1.2626832136154586e-10,3.0366844592477323e-12,1.269053832301328e-11
001740,0.0,0.0191256024054874,5.9667383118408505e-12,1.2549214606398324e-13,3.293455775121913e-10
003490,3.573626572680351e-10,1.0632576731165666e-10,0.0,0.0411927557704174,0.04819476207010959
003670,6.246912997184966e-10,0.024053571054888687,4.783088785503268e-10,0.0064866001969612315,2.8385495395060833e-10
004370,0.2808443846433796,0.13252159512959116,0.13153534428867508,0.08460706934198944,0.04939241227156022
004800,1.419353954866035e-10,2.093394912241821e-12,6.252840893958517e-10,1.6629280797938622e-12,2.0704001019674244e-10
004990,6.579793912008305e-11,2.3676094450851122e-11,0.0,8.46675250892731e-12,7.661603917268735e-11
005380,1.2494534730653396e-10,2.557920327930249e-12,0.0476848823818417,0.04960379446305458,2.1575428350135093e-11
005490,0.045811718559073476,5.819716415889019e-12,3.030664583240514e-10,0.0,1.7519064737929918e-10
005930,0.02833902044358554,0.0945176006370775,0.09404497103861355,0.063308002165158,0.03181923843233634
006400,1.0301515433878113e-10,9.586666485877834e-11,5.66153476138726e-10,1.5666967180431442e-13,2.85423644247885e-10
007070,9.823579480856719e-11,7.280496515328661e-11,0.005104718104973663,5.656453522404804e-13,2.4238964299939606e-10
009150,8.048341024860919e-11,2.45586558869943e-12,4.4626368977774294e-10,5.26080603031108e-13,1.6067685964555148e-10
010130,0.008488939824132671,0.02601864805088585,0.021370670153285535,0.006382555839904431,1.6646600459298747e-10
010140,7.855085235469056e-10,0.011644417309653122,0.005690741571369072,0.006758551912684955,1.9478694583321287e-10
010950,0.0,0.0023020314746216206,0.016485124314697897,0.0005532255597446958,0.07090658185081536
011200,1.391932885223034e-10,2.257389234282385e-12,0.0,2.8693313674262202e-12,2.9722526479517686e-10
011780,1.16345372872192e-09,1.917515605695468e-11,0.0,8.56112900763684e-12,5.932449758411991e-10
012330,1.3020119216909933e-10,9.665192107293614e-12,0.02683796431212592,2.4369375248757724e-12,0.015881567232890186
012450,3.571238869157514e-10,9.884462936575032e-11,5.869563351768844e-10,0.019007580412348693,0.022023379013628424
017670,0.23546417611319298,0.03806318401706835,0.1848065466857345,0.16584253046796005,0.2335592423284864
018260,0.0,1.4731534310892457e-11,8.458686149652732e-11,0.025712178874099902,0.008643756006647305
018880,0.0005466375734073678,1.0339981332762174e-11,0.0,3.5487418421927466e-12,3.3794123081113954e-10
021240,0.0,0.041973848083350605,0.0034934205477695833,4.395127205013094e-12,0.049653865336600295
023530,4.967055027860942e-10,1.843442787350064e-11,0.0,4.541350103424906e-13,1.6326020313626586e-10
028260,0.0,8.041811006180324e-12,2.848576895573631e-10,0.08540915158871634,3.6662380695471135e-11
028670,1.35953332486411e-09,3.673253769874843e-12,0.0,1.2968749111205444e-11,8.920871775433858e-11
030200,0.09736072193341405,0.108449607313022,0.1562436230752444,0.07124469374288471,1.5506152373336113e-10
032640,3.5643622592243666e-11,0.08732795777293043,3.14432140198836e-11,0.04417857340111391,0.14508197859117014
032830,0.0,1.0500940407646074e-10,0.007451004099677564,0.09113338160540599,2.403464076682679e-10
034220,2.829160183446609e-10,0.04888804017866169,0.02144226158790158,5.3800044938232334e-12,9.576139760588358e-12
035420,0.05406924082870772,1.21565583959672e-10,0.0,1.432275092404048e-13,0.030498058429524477
035720,0.0,0.02384959647089796,0.0,1.4253132877401842e-11,1.7165014536716045e-10
036460,4.515489983737793e-10,0.01185744727209526,2.9427833492555557e-10,1.9953196555510855e-13,6.093233500102338e-10
036570,1.9041854427546592e-10,0.01898676601302537,0.0,2.4408141655009423e-14,5.658558759273802e-10
051900,0.06324435612656111,0.04213275499142817,0.005405856849774568,1.911613228136399e-11,2.438309325820512e-10
051910,1.326602834167057e-10,0.04096211453002502,0.0,0.005897442678406674,3.792030311657346e-11
055550,0.0,0.030539240591319874,0.07002351692975513,5.136863961874164e-12,1.654316013593952e-10
066570,0.01477820450921055,2.727938130190208e-11,0.0,5.496228461398184e-12,1.0062241237721844e-10
068270,0.03701410754135016,2.882962190673704e-12,1.6912728220871968e-10,2.394260154284587e-12,1.2607354220133643e-10
073240,0.03431411333889397,2.248302007104604e-11,4.0987875207972263e-11,4.7081779154012e-12,2.6078674751316507e-10
078930,0.0,4.631346021145281e-11,5.358598156079412e-10,1.5204804052464652e-12,1.0719431003035988e-10
086790,1.9390007647557497e-10,1.3546791623376596e-11,0.0,1.3862390514228636e-11,3.9936959809851775e-10
090430,0.023534080584216337,1.0246742610052811e-10,1.9640630071050105e-11,8.359659911249645e-12,0.035302456967553617
096770,1.1305330730446103e-09,3.5513938534006956e-11,0.0,0.01793118291874465,3.6446218234364705e-10
097950,9.369874117568736e-10,2.1959550933640525e-12,6.87482565082955e-10,3.042732796455616e-13,3.853441727586629e-11
105560,0.0,0.0015664390500299368,6.853863299569791e-11,2.0744724067444465e-12,9.164589731075982e-11
111770,7.485386105891971e-10,1.0515408198746223e-10,0.0,0.0191434042283138,0.022747306232969677
128940,0.006254116103691769,4.334856379303876e-11,3.8445266168943545e-10,0.0023494203466031998,1.799854357112895e-10
139480,0.041680961294397474,1.2668172841345924e-11,3.521288153497112e-10,0.0011801135239034469,2.4910104591430884e-11
161390,4.4397988460822033e-10,1.6944259200965877e-11,1.484577384179451e-10,1.0326279253487793e-11,5.1591382482332456e-11
207940,0.0,0.07863423835800344,0.09350234089692788,0.08707477824354362,0.055368327307650594
251270,0.028255211571152156,1.979932689971807e-12,0.0018558957360457228,3.5126971232056495e-11,2.1821888848055606e-10
259960,,,0.0,1.4355296633468477e-13,2.012786579779089e-10
282330,7.77551836346654e-11,0.014564169367445312,0.10702113098770896,4.8198375543020396e-05,0.04358517727232647
302440,,,0.0,6.483248054945239e-12,4.218686749979583e-10
316140,0.0,0.10202113193780159,0.0,0.05335723239304562,0.04779796844373378
323410,,,0.0,6.422533239473408e-11,6.449268710020821e-10
326030,,2.5992215348369437e-12,0.0,1.7273818434878972e-13,6.322994757498149e-11
352820,,1.043525710244886e-11,0.0,0.011544559277325638,0.04596590281182137
361610,,,0.0,0.013978878358338612,5.071618328473838e-10
373220,,,,1.8960403023800816e-13,0.04357801945255098
377300,,,0.0,5.868923130293573e-11,1.9305448391871508e-10
